product_code,date,amount
P1,2019-01-06,11
P2,2019-01-06,7
P3,2019-01-06,7
P4,2019-01-06,12
P5,2019-01-06,8
P6,2019-01-06,3
P7,2019-01-06,4
P8,2019-01-06,8
P9,2019-01-06,14
P10,2019-01-06,22
P11,2019-01-06,15
P12,2019-01-06,3
P13,2019-01-06,12
P14,2019-01-06,14
P15,2019-01-06,19
P16,2019-01-06,30
P17,2019-01-06,49
P18,2019-01-06,40
P19,2019-01-06,26
P20,2019-01-06,13
P21,2019-01-06,12
P22,2019-01-06,8
P23,2019-01-06,3
P24,2019-01-06,36
P25,2019-01-06,26
P26,2019-01-06,14
P27,2019-01-06,44
P28,2019-01-06,34
P29,2019-01-06,13
P30,2019-01-06,46
P31,2019-01-06,7
P32,2019-01-06,15
P33,2019-01-06,15
P34,2019-01-06,47
P35,2019-01-06,34
P36,2019-01-06,41
P37,2019-01-06,36
P38,2019-01-06,37
P39,2019-01-06,31
P40,2019-01-06,41
P41,2019-01-06,35
P42,2019-01-06,42
P43,2019-01-06,28
P44,2019-01-06,34
P45,2019-01-06,40
P46,2019-01-06,27
P47,2019-01-06,40
P48,2019-01-06,29
P49,2019-01-06,37
P50,2019-01-06,12
P51,2019-01-06,19
P52,2019-01-06,40
P53,2019-01-06,2
P54,2019-01-06,41
P55,2019-01-06,34
P56,2019-01-06,31
P57,2019-01-06,38
P58,2019-01-06,32
P59,2019-01-06,5
P60,2019-01-06,37
P61,2019-01-06,25
P62,2019-01-06,12
P63,2019-01-06,37
P64,2019-01-06,34
P65,2019-01-06,14
P66,2019-01-06,35
P67,2019-01-06,36
P68,2019-01-06,14
P69,2019-01-06,26
P70,2019-01-06,31
P71,2019-01-06,7
P72,2019-01-06,26
P73,2019-01-06,35
P74,2019-01-06,8
P75,2019-01-06,34
P76,2019-01-06,27
P77,2019-01-06,7
P78,2019-01-06,39
P79,2019-01-06,37
P80,2019-01-06,38
P81,2019-01-06,14
P82,2019-01-06,10
P83,2019-01-06,46
P84,2019-01-06,29
P85,2019-01-06,39
P86,2019-01-06,37
P87,2019-01-06,30
P88,2019-01-06,41
P89,2019-01-06,24
P90,2019-01-06,42
P91,2019-01-06,10
P92,2019-01-06,26
P93,2019-01-06,11
P94,2019-01-06,14
P95,2019-01-06,12
P96,2019-01-06,31
P97,2019-01-06,29
P98,2019-01-06,4
P99,2019-01-06,16
P100,2019-01-06,13
P101,2019-01-06,26
P102,2019-01-06,34
P103,2019-01-06,7
P104,2019-01-06,4
P105,2019-01-06,2
P106,2019-01-06,11
P107,2019-01-06,19
P108,2019-01-06,0
P109,2019-01-06,9
P110,2019-01-06,9
P111,2019-01-06,5
P112,2019-01-06,31
P113,2019-01-06,22
P114,2019-01-06,7
P115,2019-01-06,9
P116,2019-01-06,13
P117,2019-01-06,6
P118,2019-01-06,16
P119,2019-01-06,30
P120,2019-01-06,37
P121,2019-01-06,7
P122,2019-01-06,7
P123,2019-01-06,5
P124,2019-01-06,4
P125,2019-01-06,6
P126,2019-01-06,3
P127,2019-01-06,4
P128,2019-01-06,36
P129,2019-01-06,21
P130,2019-01-06,19
P131,2019-01-06,29
P132,2019-01-06,39
P133,2019-01-06,30
P134,2019-01-06,32
P135,2019-01-06,38
P136,2019-01-06,39
P137,2019-01-06,37
P138,2019-01-06,36
P139,2019-01-06,32
P140,2019-01-06,28
P141,2019-01-06,27
P142,2019-01-06,23
P143,2019-01-06,31
P144,2019-01-06,9
P145,2019-01-06,10
P146,2019-01-06,7
P147,2019-01-06,10
P148,2019-01-06,3
P149,2019-01-06,11
P150,2019-01-06,4
P151,2019-01-06,3
