№ акции,Ценовая группа,Код продукта,Начало отгрузок,Конец отгрузок,Начало реализации,Конец реализации
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12509.0,ЛЕНТА-ЕВРОПА,9728,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12511.0,ЛЕНТА-ЕВРОПА,9727,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12518.0,ЛЕНТА-УРАЛ,9727,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12519.0,ЛЕНТА-УРАЛ,9728,03.04.2017,03.04.2017,04.04.2017,04.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12638.0,Метро МП питер,6124,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12645.0,ЛЕНТА-УРАЛ,4650,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12648.0,ЛЕНТА-УРАЛ,0652,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12650.0,ЛЕНТА-УРАЛ,8762,03.04.2017,03.04.2017,06.04.2017,06.04.2017
12683.0,ЛЕНТА-ЕВРОПА,0621,03.04.2017,03.04.2017,03.04.2017,03.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,03.04.2017,03.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,03.04.2017,03.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,03.04.2017,03.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,03.04.2017,03.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,03.04.2017,03.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,03.04.2017,03.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,04.04.2017,04.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,04.04.2017,04.04.2017,04.04.2017,04.04.2017
12509.0,ЛЕНТА-ЕВРОПА,9728,04.04.2017,04.04.2017,04.04.2017,04.04.2017
12511.0,ЛЕНТА-ЕВРОПА,9727,04.04.2017,04.04.2017,04.04.2017,04.04.2017
12586.0,Ленд,2955,04.04.2017,04.04.2017,05.04.2017,05.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,04.04.2017,04.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,04.04.2017,04.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,04.04.2017,04.04.2017,06.04.2017,06.04.2017
12654.0,АШАН МП РЦ без НДС,6364,04.04.2017,04.04.2017,03.04.2017,03.04.2017
12706.0,АШАН МП РЦ без НДС,2955,04.04.2017,04.04.2017,10.04.2017,10.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,04.04.2017,04.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,04.04.2017,04.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,04.04.2017,04.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,04.04.2017,04.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,04.04.2017,04.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,04.04.2017,04.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,05.04.2017,05.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,05.04.2017,05.04.2017,04.04.2017,04.04.2017
12509.0,ЛЕНТА-ЕВРОПА,9728,05.04.2017,05.04.2017,04.04.2017,04.04.2017
12511.0,ЛЕНТА-ЕВРОПА,9727,05.04.2017,05.04.2017,04.04.2017,04.04.2017
12577.0,ДиксиМосква,0717,05.04.2017,05.04.2017,10.04.2017,10.04.2017
12601.0,Призма Спб,9745,05.04.2017,05.04.2017,24.03.2017,24.03.2017
12602.0,Призма Спб,9744,05.04.2017,05.04.2017,24.03.2017,24.03.2017
12622.0,Метро РЦ,6124,05.04.2017,05.04.2017,06.04.2017,06.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,05.04.2017,05.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,05.04.2017,05.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,05.04.2017,05.04.2017,06.04.2017,06.04.2017
12638.0,Метро МП питер,6124,05.04.2017,05.04.2017,06.04.2017,06.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,05.04.2017,05.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,05.04.2017,05.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,05.04.2017,05.04.2017,10.04.2017,10.04.2017
12728.0,ЛЕНТА-УРАЛ,9557,05.04.2017,05.04.2017,20.04.2017,20.04.2017
12729.0,ЛЕНТА-УРАЛ,9558,05.04.2017,05.04.2017,20.04.2017,20.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,05.04.2017,05.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,05.04.2017,05.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,05.04.2017,05.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12509.0,ЛЕНТА-ЕВРОПА,9728,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12511.0,ЛЕНТА-ЕВРОПА,9727,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12518.0,ЛЕНТА-УРАЛ,9727,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12519.0,ЛЕНТА-УРАЛ,9728,06.04.2017,06.04.2017,04.04.2017,04.04.2017
12581.0,МАТРИЦА-ДИКСИ,0717,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12598.0,ОКЕЙ---С-ПБ,4636,06.04.2017,06.04.2017,20.04.2017,20.04.2017
12599.0,ОКЕЙ---С-ПБ,2390,06.04.2017,06.04.2017,20.04.2017,20.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12645.0,ЛЕНТА-УРАЛ,4650,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12648.0,ЛЕНТА-УРАЛ,0652,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12650.0,ЛЕНТА-УРАЛ,8762,06.04.2017,06.04.2017,06.04.2017,06.04.2017
12654.0,АШАН МП РЦ без НДС,6364,06.04.2017,06.04.2017,03.04.2017,03.04.2017
12683.0,ЛЕНТА-ЕВРОПА,0621,06.04.2017,06.04.2017,03.04.2017,03.04.2017
12706.0,АШАН МП РЦ без НДС,2955,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12728.0,ЛЕНТА-УРАЛ,9557,06.04.2017,06.04.2017,20.04.2017,20.04.2017
12729.0,ЛЕНТА-УРАЛ,9558,06.04.2017,06.04.2017,20.04.2017,20.04.2017
12733.0,АШАН МП САМ безНДС,2955,06.04.2017,06.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,06.04.2017,06.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,06.04.2017,06.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,06.04.2017,06.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,07.04.2017,07.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,07.04.2017,07.04.2017,04.04.2017,04.04.2017
12509.0,ЛЕНТА-ЕВРОПА,9728,07.04.2017,07.04.2017,04.04.2017,04.04.2017
12511.0,ЛЕНТА-ЕВРОПА,9727,07.04.2017,07.04.2017,04.04.2017,04.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12645.0,ЛЕНТА-УРАЛ,4650,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12648.0,ЛЕНТА-УРАЛ,0652,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12650.0,ЛЕНТА-УРАЛ,8762,07.04.2017,07.04.2017,06.04.2017,06.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,07.04.2017,07.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,07.04.2017,07.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,07.04.2017,07.04.2017,10.04.2017,10.04.2017
12728.0,ЛЕНТА-УРАЛ,9557,07.04.2017,07.04.2017,20.04.2017,20.04.2017
12729.0,ЛЕНТА-УРАЛ,9558,07.04.2017,07.04.2017,20.04.2017,20.04.2017
12733.0,АШАН МП САМ безНДС,2955,07.04.2017,07.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,07.04.2017,07.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,07.04.2017,07.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,07.04.2017,07.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,08.04.2017,08.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,08.04.2017,08.04.2017,04.04.2017,04.04.2017
12615.0,Верный М,7224,08.04.2017,08.04.2017,18.04.2017,18.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,08.04.2017,08.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,08.04.2017,08.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,08.04.2017,08.04.2017,06.04.2017,06.04.2017
12648.0,ЛЕНТА-УРАЛ,0652,08.04.2017,08.04.2017,06.04.2017,06.04.2017
12650.0,ЛЕНТА-УРАЛ,8762,08.04.2017,08.04.2017,06.04.2017,06.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,08.04.2017,08.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,08.04.2017,08.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,08.04.2017,08.04.2017,10.04.2017,10.04.2017
12728.0,ЛЕНТА-УРАЛ,9557,08.04.2017,08.04.2017,20.04.2017,20.04.2017
12729.0,ЛЕНТА-УРАЛ,9558,08.04.2017,08.04.2017,20.04.2017,20.04.2017
12733.0,АШАН МП САМ безНДС,2955,08.04.2017,08.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,08.04.2017,08.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,08.04.2017,08.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,08.04.2017,08.04.2017,12.04.2017,12.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,09.04.2017,09.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,09.04.2017,09.04.2017,04.04.2017,04.04.2017
12577.0,ДиксиМосква,0717,09.04.2017,09.04.2017,10.04.2017,10.04.2017
12598.0,ОКЕЙ---С-ПБ,4636,09.04.2017,09.04.2017,20.04.2017,20.04.2017
12622.0,Метро РЦ,6124,09.04.2017,09.04.2017,06.04.2017,06.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,09.04.2017,09.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,09.04.2017,09.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,09.04.2017,09.04.2017,06.04.2017,06.04.2017
12706.0,АШАН МП РЦ без НДС,2955,09.04.2017,09.04.2017,10.04.2017,10.04.2017
12716.0,АШАН МП СПБ безНДС,2955,09.04.2017,09.04.2017,10.04.2017,10.04.2017
12498.0,ЛЕНТА-ЕВРОПА-СПБ,9727,10.04.2017,10.04.2017,04.04.2017,04.04.2017
12499.0,ЛЕНТА-ЕВРОПА-СПБ,9728,10.04.2017,10.04.2017,04.04.2017,04.04.2017
12587.0,ОКЕЙ--МОСКВА,4636,10.04.2017,10.04.2017,20.04.2017,20.04.2017
12588.0,ОКЕЙ--МОСКВА,2390,10.04.2017,10.04.2017,20.04.2017,20.04.2017
12599.0,ОКЕЙ---С-ПБ,2390,10.04.2017,10.04.2017,20.04.2017,20.04.2017
12628.0,ЛЕНТА-ЕВРОПА-СПБ,4650,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12634.0,ЛЕНТА-ЕВРОПА-СПБ,0652,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12636.0,ЛЕНТА-ЕВРОПА-СПБ,8762,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12638.0,Метро МП питер,6124,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12645.0,ЛЕНТА-УРАЛ,4650,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12648.0,ЛЕНТА-УРАЛ,0652,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12650.0,ЛЕНТА-УРАЛ,8762,10.04.2017,10.04.2017,06.04.2017,06.04.2017
12714.0,МАТРИЦА ЛЮБАВУШКА,9744,10.04.2017,10.04.2017,10.04.2017,10.04.2017
12715.0,МАТРИЦА ЛЮБАВУШКА,9745,10.04.2017,10.04.2017,10.04.2017,10.04.2017
12743.0,ИНТЕРТОРГ МАТРИЦА,9747,10.04.2017,10.04.2017,12.04.2017,12.04.2017
12747.0,ИНТЕРТОРГ МАТРИЦА,6363,10.04.2017,10.04.2017,12.04.2017,12.04.2017
12748.0,ИНТЕРТОРГ МАТРИЦА,6362,10.04.2017,10.04.2017,12.04.2017,12.04.2017
12749.0,Атак РЦ Москва без,5078,10.04.2017,10.04.2017,17.04.2017,17.04.2017
12751.0,АШАН МП СПБ безНДС,5078,10.04.2017,10.04.2017,17.04.2017,17.04.2017
12754.0,ИНТЕРТОРГ МАТРИЦА,9027,10.04.2017,10.04.2017,19.04.2017,19.04.2017
12780.0,ОКЕЙ--МОСКВА,5324,10.04.2017,10.04.2017,20.04.2017,20.04.2017
12791.0,ОКЕЙ---С-ПБ,5324,10.04.2017,10.04.2017,20.04.2017,20.04.2017
